Item_Identifier,Storeid,Sales
FDW58,OUT049,1649.2997859999994
FDW14,OUT017,1435.912134375
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890879999997
FDH56,OUT046,1922.1493817142873
FDL48,OUT018,713.8586545454546
FDC48,OUT027,2517.882088484849
FDN33,OUT045,1879.257011612902
FDA36,OUT017,2752.9709346534655
FDT44,OUT017,1922.1493817142873
FDQ56,OUT045,1435.912134375
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.8586545454546
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.004904950496
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229509
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3487.2410776470583
FDG52,OUT046,798.2176035398227
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.1080642424213
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.2176035398227
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.5197259842516
FDE21,OUT035,1922.1493817142873
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.04640366972507
FDU31,OUT027,5329.314724444445
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444445
FDS49,OUT027,2517.882088484849
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.348476190475
NCD43,OUT027,2517.882088484849
NCD54,OUT018,1752.2524400000007
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1649.2997859999994
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.1080642424213
FDF41,OUT035,3487.2410776470583
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.0323883040937
FDM03,OUT013,1461.8437959999992
FDS31,OUT017,3384.1080642424213
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444445
FDG02,OUT049,2752.9709346534655
FDA09,OUT013,3259.5620849056622
FDT04,OUT013,507.04640366972507
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1435.912134375
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3643.5197259842516
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1573.0706258064513
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484849
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.30030689655
FDI35,OUT013,3384.1080642424213
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.882088484849
FDZ14,OUT018,1752.2524400000007
DRG49,OUT049,3487.2410776470583
NCG06,OUT045,4034.30030689655
DRC36,OUT045,3259.5620849056622
FDV21,OUT019,281.48208181818165
FDB53,OUT046,3053.0998777777772
DRP47,OUT019,584.7577647727271
FDA14,OUT013,3053.0998777777772
DRC24,OUT035,2644.477842708334
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1682.2122382352943
FDU58,OUT013,2893.8398258992806
FDY27,OUT017,2552.005235185187
FDV56,OUT035,1682.2122382352943
FDT59,OUT046,3945.4325672131167
FDB23,OUT046,3945.4325672131167
FDR49,OUT045,798.2176035398227
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.7477006993013
FDX02,OUT027,5329.314724444445
FDQ16,OUT027,2517.882088484849
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1987.2510486486474
FDZ27,OUT046,798.2176035398227
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.1080642424213
NCU05,OUT013,1284.789766871165
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1461.8437959999992
FDZ25,OUT017,3053.0998777777772
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229509
NCC43,OUT027,6280.890879999997
FDX13,OUT019,584.7577647727271
FDM22,OUT049,796.6402682539685
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890879999997
FDO27,OUT035,1879.257011612902
DRL23,OUT027,2517.882088484849
FDS28,OUT046,935.0323883040937
FDX24,OUT013,1435.912134375
FDZ02,OUT035,1682.2122382352943
FDL46,OUT045,1827.832845454545
FDS60,OUT027,5329.314724444445
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1435.912134375
FDC60,OUT049,1458.4550080536915
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444445
FDK27,OUT045,1827.832845454545
FDW23,OUT018,507.04640366972507
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1649.2997859999994
FDW60,OUT018,3259.5620849056622
FDE21,OUT013,1922.1493817142873
NCM42,OUT035,1682.2122382352943
FDY59,OUT010,219.21852093023247
DRI49,OUT049,1202.656733333334
