Item_Identifier,Storeid,Sales
FDW58,OUT049,1856.0
FDW14,OUT017,1556.0
NCN55,OUT010,1896.0
FDQ58,OUT017,2580.0
FDY38,OUT027,5180.0
FDH56,OUT046,1900.0
FDL48,OUT018,608.0
FDC48,OUT027,2780.0
FDN33,OUT045,1480.0
FDA36,OUT017,3060.0
FDT44,OUT017,1980.0
FDQ56,OUT045,1280.0
NCC54,OUT019,1856.0
FDU11,OUT049,2032.0
DRL59,OUT013,912.0
FDM24,OUT049,2544.0
FDI57,OUT045,3072.0
DRC12,OUT018,2784.0
NCM42,OUT027,3196.0
FDA46,OUT010,1136.0
FDA31,OUT013,2800.0
NCJ31,OUT035,3852.0
FDG52,OUT046,784.0
NCL19,OUT019,384.0
FDS10,OUT035,3012.0
FDX22,OUT010,1464.0
NCF19,OUT035,900.0
NCE06,OUT046,2504.0
DRC27,OUT046,3832.0
FDE21,OUT035,2012.0
NCR42,OUT019,-1352.0
FDX51,OUT018,2880.0
NCR06,OUT018,448.0
FDU31,OUT027,4948.0
FDU59,OUT017,2684.0
FDR03,OUT027,4772.0
FDS49,OUT027,2756.0
FDD48,OUT010,-64.0
NCF18,OUT017,3096.0
NCD43,OUT027,3104.0
NCD54,OUT018,2008.0
FDY19,OUT010,-16.0
NCY54,OUT017,2780.0
NCL19,OUT018,2040.0
FDP23,OUT010,1544.0
FDC26,OUT013,1816.0
FDR14,OUT010,-1048.0
NCS41,OUT035,3016.0
FDF41,OUT035,4020.0
FDU34,OUT046,1984.0
DRH11,OUT046,904.0
FDM03,OUT013,1760.0
FDS31,OUT017,3028.0
FDJ20,OUT017,2076.0
FDV44,OUT027,4500.0
FDG02,OUT049,3096.0
FDA09,OUT013,2912.0
FDT04,OUT013,688.0
FDL58,OUT019,2296.0
FDE52,OUT045,1432.0
FDW12,OUT035,2484.0
FDL51,OUT017,3540.0
NCY42,OUT027,3688.0
FDR07,OUT017,1644.0
FDN40,OUT045,2344.0
FDB35,OUT027,2956.0
FDA22,OUT017,2716.0
NCL06,OUT046,4096.0
FDI35,OUT013,2928.0
NCW42,OUT045,3396.0
NCX06,OUT049,2936.0
FDC37,OUT027,3204.0
FDZ14,OUT018,1736.0
DRG49,OUT049,3948.0
NCG06,OUT045,3944.0
DRC36,OUT045,2712.0
FDV21,OUT019,52.0
FDB53,OUT046,2332.0
DRP47,OUT019,2048.0
FDA14,OUT013,2360.0
DRC24,OUT035,2564.0
FDW21,OUT018,1424.0
NCH29,OUT046,1536.0
FDU58,OUT013,3088.0
FDY27,OUT017,2924.0
