Item_Identifier,Storeid,Sales
FDW58,OUT049,1509.43231291866
FDW14,OUT017,1364.0491539906102
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2384.0151261682245
FDY38,OUT027,5669.163351428569
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.5960957264956
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1554.0070756410257
FDA36,OUT017,3087.5075112820514
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1364.0491539906102
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2054.215706620209
DRL59,OUT013,754.5960957264956
FDM24,OUT049,2384.0151261682245
FDI57,OUT045,2880.969561363637
DRC12,OUT018,2880.969561363637
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755187
NCJ31,OUT035,3593.1412351254476
FDG52,OUT046,754.5960957264956
NCL19,OUT019,286.4177705128206
FDS10,OUT035,2880.969561363637
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264956
NCE06,OUT046,2384.0151261682245
DRC27,OUT046,4109.900606217617
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603768
FDX51,OUT018,3087.5075112820514
NCR06,OUT018,637.5735090128752
FDU31,OUT027,5669.163351428569
FDU59,OUT017,2384.0151261682245
FDR03,OUT027,5669.163351428569
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.4177705128206
NCF18,OUT017,2880.969561363637
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1936.508247826086
FDY19,OUT010,286.4177705128206
NCY54,OUT017,2997.407679041916
NCL19,OUT018,2346.648786938778
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1722.331611173186
FDR14,OUT010,130.33349056603768
NCS41,OUT035,3389.2269793548357
FDF41,OUT035,3593.1412351254476
FDU34,OUT046,2054.215706620209
DRH11,OUT046,876.3205797979804
FDM03,OUT013,1722.331611173186
FDS31,OUT017,3389.2269793548357
FDJ20,OUT017,2054.215706620209
FDV44,OUT027,5669.163351428569
FDG02,OUT049,3087.5075112820514
FDA09,OUT013,2736.9684298755187
FDT04,OUT013,637.5735090128752
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1364.0491539906102
FDW12,OUT035,2384.0151261682245
FDL51,OUT017,3753.0000993630583
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1554.0070756410257
FDN40,OUT045,2384.0151261682245
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2384.0151261682245
NCL06,OUT046,4333.891515923567
FDI35,OUT013,3389.2269793548357
NCW42,OUT045,3753.0000993630583
NCX06,OUT049,2736.9684298755187
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.508247826086
DRG49,OUT049,3593.1412351254476
NCG06,OUT045,4105.140110975609
DRC36,OUT045,2997.407679041916
FDV21,OUT019,286.4177705128206
FDB53,OUT046,2539.394235877862
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2346.648786938778
DRC24,OUT035,2539.394235877862
FDW21,OUT018,1509.43231291866
NCH29,OUT046,1554.0070756410257
FDU58,OUT013,3087.5075112820514
FDY27,OUT017,2736.9684298755187
FDV56,OUT035,1722.331611173186
FDT59,OUT046,4109.900606217617
FDB23,OUT046,3753.0000993630583
FDR49,OUT045,754.5960957264956
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2811.181403212853
FDX02,OUT027,5669.163351428569
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1509.43231291866
NCT29,OUT013,1936.508247826086
FDZ27,OUT046,754.5960957264956
FDN57,OUT017,2054.215706620209
FDA03,OUT018,2346.648786938778
FDZ36,OUT045,3389.2269793548357
NCU05,OUT013,1248.2233455555554
FDT39,OUT018,2346.648786938778
FDK60,OUT017,1554.0070756410257
FDZ25,OUT017,2811.181403212853
FDG12,OUT046,2202.2990201117314
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428569
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979804
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,384.4886739837401
FDP27,OUT046,3087.5075112820514
FDO38,OUT010,130.33349056603768
FDE28,OUT027,5669.163351428569
FDO27,OUT035,1554.0070756410257
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979804
FDX24,OUT013,1248.2233455555554
FDZ02,OUT035,1554.0070756410257
FDL46,OUT045,1874.430959859155
FDS60,OUT027,5669.163351428569
NCO06,OUT017,552.550210778443
FDO16,OUT035,1364.0491539906102
FDC60,OUT049,1443.5247018633536
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5669.163351428569
FDK27,OUT045,2202.2990201117314
FDW23,OUT018,637.5735090128752
FDM14,OUT018,1509.43231291866
FDM14,OUT013,1722.331611173186
FDW60,OUT018,2736.9684298755187
FDE21,OUT013,1874.430959859155
NCM42,OUT035,1722.331611173186
FDY59,OUT010,230.0085918128655
DRI49,OUT049,1248.2233455555554
FDT28,OUT019,384.4886739837401
FDQ22,OUT018,637.5735090128752
FDR60,OUT049,1248.2233455555554
FDC50,OUT019,230.0085918128655
FDV24,OUT013,2346.648786938778
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.550210778443
DRN36,OUT049,1509.43231291866
NCY06,OUT035,2054.215706620209
FDE52,OUT035,1364.0491539906102
NCB54,OUT045,2054.215706620209
NCF31,OUT035,2539.394235877862
FDJ08,OUT027,5669.163351428569
NCC07,OUT017,1722.331611173186
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1874.430959859155
FDM20,OUT045,4109.900606217617
NCI06,OUT010,384.4886739837401
DRM11,OUT035,4333.891515923567
NCH07,OUT018,2346.648786938778
FDS23,OUT013,1936.508247826086
FDO49,OUT018,754.5960957264956
FDS35,OUT049,1103.1862133333339
DRK39,OUT045,1364.0491539906102
DRI39,OUT049,876.3205797979804
FDV04,OUT017,2384.0151261682245
NCN14,OUT035,2880.969561363637
FDH08,OUT013,4109.900606217617
FDS20,OUT046,3389.2269793548357
FDV40,OUT049,1103.1862133333339
FDZ48,OUT010,230.0085918128655
FDS24,OUT027,2513.079854666666
FDK44,OUT049,2997.407679041916
FDS48,OUT045,2539.394235877862
FDK26,OUT010,542.9755395973153
FDD23,OUT045,3087.5075112820514
NCH54,OUT017,2811.181403212853
NCP14,OUT010,230.0085918128655
FDM60,OUT010,130.33349056603768
FDV24,OUT017,2384.0151261682245
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3175.335988157896
FDR39,OUT027,5669.163351428569
FDP12,OUT027,1378.263185276074
DRF60,OUT027,5669.163351428569
FDC09,OUT035,1722.331611173186
FDF50,OUT018,3087.5075112820514
FDG28,OUT035,4109.900606217617
NCE19,OUT017,876.3205797979804
NCM53,OUT010,230.0085918128655
NCN18,OUT049,1509.43231291866
FDF32,OUT035,3087.5075112820514
FDF11,OUT013,4109.900606217617
DRI59,OUT049,3753.0000993630583
NCG54,OUT035,2811.181403212853
FDM44,OUT046,1722.331611173186
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2384.0151261682245
FDI50,OUT019,542.9755395973153
FDS09,OUT035,754.5960957264956
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,542.9755395973153
FDC22,OUT017,3087.5075112820514
FDZ56,OUT046,2811.181403212853
FDZ40,OUT019,130.33349056603768
FDS46,OUT027,3175.335988157896
DRD24,OUT045,2202.2990201117314
FDV45,OUT017,3087.5075112820514
FDL26,OUT045,2539.394235877862
FDA56,OUT018,1936.508247826086
FDN27,OUT046,1874.430959859155
FDM20,OUT049,4109.900606217617
FDO16,OUT017,1364.0491539906102
FDL03,OUT035,2880.969561363637
FDE58,OUT046,1874.430959859155
FDI02,OUT027,3175.335988157896
NCC55,OUT019,130.33349056603768
FDR03,OUT018,3327.9525829268296
FDB14,OUT017,1364.0491539906102
FDR45,OUT013,4109.900606217617
NCN07,OUT017,2202.2990201117314
FDM51,OUT019,230.0085918128655
FDT52,OUT027,5669.163351428569
FDL26,OUT046,2539.394235877862
NCZ42,OUT046,4109.900606217617
DRI47,OUT019,384.4886739837401
FDW40,OUT013,1936.508247826086
FDN34,OUT046,2811.181403212853
FDS01,OUT035,2736.9684298755187
NCG55,OUT045,1874.430959859155
FDC11,OUT035,1364.0491539906102
FDX35,OUT018,3327.9525829268296
NCB06,OUT046,2811.181403212853
FDR09,OUT019,542.9755395973153
FDC53,OUT017,1554.0070756410257
FDY45,OUT013,4105.140110975609
FDA22,OUT010,384.4886739837401
FDE02,OUT035,1554.0070756410257
FDW21,OUT045,1722.331611173186
FDV34,OUT046,1103.1862133333339
FDS59,OUT049,1509.43231291866
NCW17,OUT017,2202.2990201117314
NCK54,OUT046,1874.430959859155
FDG17,OUT019,542.9755395973153
FDG35,OUT017,2997.407679041916
FDD08,OUT010,130.33349056603768
NCO07,OUT017,3753.0000993630583
FDJ10,OUT010,286.4177705128206
FDW36,OUT017,1722.331611173186
FDW21,OUT010,230.0085918128655
FDY19,OUT017,1874.430959859155
DRE03,OUT013,754.5960957264956
NCC55,OUT049,637.5735090128752
