Item_Identifier,Storeid,Sales
FDW58,OUT049,1877.4008187334216
FDW14,OUT017,1589.2170650167564
NCN55,OUT010,1823.7204819861618
FDQ58,OUT017,2543.2713663430454
FDY38,OUT027,5086.942534843778
FDH56,OUT046,1946.8629034034582
FDL48,OUT018,682.1476789851706
FDC48,OUT027,2805.6389043581207
FDN33,OUT045,1538.2165671582366
FDA36,OUT017,3049.96446941205
FDT44,OUT017,2002.7448944690686
FDQ56,OUT045,1355.4317289833402
NCC54,OUT019,1820.040704195669
FDU11,OUT049,2079.205042924723
DRL59,OUT013,964.3210426070846
FDM24,OUT049,2543.4080284390293
FDI57,OUT045,3044.5640744242414
DRC12,OUT018,2727.76584186125
NCM42,OUT027,3195.8316194357944
FDA46,OUT010,1130.7057683527178
FDA31,OUT013,2783.3001622649326
NCJ31,OUT035,3799.9560037698284
FDG52,OUT046,867.4584137110155
NCL19,OUT019,383.3123068037419
FDS10,OUT035,2983.6104021593283
FDX22,OUT010,1455.5365944708074
NCF19,OUT035,996.3591908890907
NCE06,OUT046,2523.9929664780007
DRC27,OUT046,3772.8738536473197
FDE21,OUT035,2042.5572631659807
NCR42,OUT019,-1251.0669984303418
FDX51,OUT018,2842.2079242853465
NCR06,OUT018,511.949332769758
FDU31,OUT027,4872.364700919363
FDU59,OUT017,2682.7851324974235
FDR03,OUT027,4666.558638798582
FDS49,OUT027,2768.648774876497
FDD48,OUT010,-9.830546767995315
NCF18,OUT017,3081.681930428608
NCD43,OUT027,3103.818258910896
NCD54,OUT018,2009.229817542604
FDY19,OUT010,25.377418338320126
NCY54,OUT017,2781.1302823869305
NCL19,OUT018,2024.6055590580663
FDP23,OUT010,1511.090297322362
FDC26,OUT013,1848.986325940499
FDR14,OUT010,-929.2374693340737
NCS41,OUT035,2983.698156289992
FDF41,OUT035,3969.022774111249
FDU34,OUT046,2008.2650393127142
DRH11,OUT046,988.4392860806258
FDM03,OUT013,1733.2028930803901
FDS31,OUT017,2961.6825458977146
FDJ20,OUT017,2114.9371259352474
FDV44,OUT027,4427.021380276305
FDG02,OUT049,3082.712055174574
FDA09,OUT013,2878.045044555028
FDT04,OUT013,743.4214281261937
FDL58,OUT019,2224.4045812655245
FDE52,OUT045,1468.8638629481786
FDW12,OUT035,2497.893673982555
FDL51,OUT017,3497.2526514289348
NCY42,OUT027,3668.9062138345957
FDR07,OUT017,1702.629225332688
FDN40,OUT045,2338.4375236744177
FDB35,OUT027,2975.5827673267117
FDA22,OUT017,2706.1182982757073
NCL06,OUT046,4024.001126774745
FDI35,OUT013,2889.641732663821
NCW42,OUT045,3356.0721722718854
NCX06,OUT049,2928.7680609799086
FDC37,OUT027,3208.0068848361584
FDZ14,OUT018,1760.872511216714
DRG49,OUT049,3882.93137479818
NCG06,OUT045,3872.8295412358834
DRC36,OUT045,2694.6285447663845
FDV21,OUT019,88.88723548312714
FDB53,OUT046,2338.7925399439855
DRP47,OUT019,1969.0876441444573
FDA14,OUT013,2346.408242609794
DRC24,OUT035,2557.1108177423903
FDW21,OUT018,1431.989547163205
NCH29,OUT046,1577.894109715712
FDU58,OUT013,3039.019133899501
FDY27,OUT017,2886.0036721013753
FDV56,OUT035,1976.297443607249
FDT59,OUT046,3592.184828463515
FDB23,OUT046,3561.4434217308885
FDR49,OUT045,757.1325382747012
FDB03,OUT010,1880.8891213950074
FDN39,OUT045,2598.000964335123
FDX02,OUT027,4892.7025106399105
FDQ16,OUT027,3196.044514795199
FDU35,OUT018,1349.884022485633
NCT29,OUT013,1985.9055561438063
FDZ27,OUT046,874.6079427078009
FDN57,OUT017,2350.1464556478236
FDA03,OUT018,2096.9431335910117
FDZ36,OUT045,2890.117816946949
NCU05,OUT013,1378.9969868230419
FDT39,OUT018,2201.222747330169
FDK60,OUT017,1719.9388833359278
FDZ25,OUT017,2807.0029613066513
FDG12,OUT046,1999.0819909934908
DRB01,OUT019,1082.8385335019593
NCC43,OUT027,5256.560697816865
FDX13,OUT019,1979.9193758210279
FDM22,OUT049,1102.100801223613
FDJ03,OUT027,2353.8565570149217
FDU14,OUT018,3605.859861547398
FDB33,OUT010,674.8867608260481
FDP27,OUT046,2979.3408862710376
FDO38,OUT010,-581.0488139678156
FDE28,OUT027,5038.3958556155085
FDO27,OUT035,1725.626757635031
DRL23,OUT027,3168.480507383289
FDS28,OUT046,1031.1073765278156
FDX24,OUT013,1576.9513969339955
FDZ02,OUT035,1781.7637952773505
FDL46,OUT045,1836.4064018823694
FDS60,OUT027,4249.874068027861
NCO06,OUT017,715.6018625619458
FDO16,OUT035,1573.366929096909
FDC60,OUT049,1596.1187895469657
FDA48,OUT018,3144.459163427501
FDZ36,OUT027,4384.21086491711
FDK27,OUT045,1905.8640376121812
FDW23,OUT018,473.1312185939374
FDM14,OUT018,1542.4403780719906
FDM14,OUT013,1815.671071408885
FDW60,OUT018,2583.3983413919386
FDE21,OUT013,1938.2968653085109
NCM42,OUT035,1907.3044485937105
FDY59,OUT010,-324.0201413072683
DRI49,OUT049,1413.3908547799365
FDT28,OUT019,537.4376973736591
FDQ22,OUT018,493.6715688016206
FDR60,OUT049,1381.2455743316996
FDC50,OUT019,-340.4907284283852
FDV24,OUT013,2419.739802332011
DRF48,OUT010,1118.9264395805335
FDQ47,OUT046,724.7809004859446
DRN36,OUT049,1685.2930713541818
NCY06,OUT035,2184.0918037616702
FDE52,OUT035,1664.596004249215
NCB54,OUT045,1957.596925227299
NCF31,OUT035,2541.8778601446515
FDJ08,OUT027,4390.1607420626515
NCC07,OUT017,1825.4371791670317
NCD19,OUT027,2335.0568886536103
FDL46,OUT049,2030.6962058838317
FDM20,OUT045,3744.339351956643
NCI06,OUT010,945.16989278718
DRM11,OUT035,4119.895743588435
NCH07,OUT018,2218.0875988013995
FDS23,OUT013,2101.1752123903298
FDO49,OUT018,670.7421253123496
FDS35,OUT049,1219.1557229656923
DRK39,OUT045,1282.4423678428714
DRI39,OUT049,1102.1694867902665
FDV04,OUT017,2622.843636203925
NCN14,OUT035,2972.829745205472
FDH08,OUT013,3644.316354656264
FDS20,OUT046,2873.459071681353
FDV40,OUT049,1381.3727816737373
FDZ48,OUT010,-85.34845256824008
FDS24,OUT027,2931.422967819471
FDK44,OUT049,2830.2318442468195
FDS48,OUT045,2336.248335951952
FDK26,OUT010,1104.4459375693377
FDD23,OUT045,2934.129490580458
NCH54,OUT017,2632.5067152233073
NCP14,OUT010,-187.12824982598534
FDM60,OUT010,-1101.867717351196
FDV24,OUT017,2473.5947348925856
FDH08,OUT018,3308.9363826648423
FDS12,OUT027,3456.391977303301
FDR39,OUT027,4256.5117603624585
FDP12,OUT027,2171.3556794586934
DRF60,OUT027,5053.521430656621
FDC09,OUT035,1881.1822481809506
FDF50,OUT018,2792.5095811911906
FDG28,OUT035,3946.712672752294
NCE19,OUT017,1055.4157955535557
NCM53,OUT010,-133.64947541659478
NCN18,OUT049,1871.0788951787185
FDF32,OUT035,3234.7628576390866
FDF11,OUT013,3794.523614675702
DRI59,OUT049,3569.913059880956
NCG54,OUT035,2778.2130430268426
FDM44,OUT046,1682.488416314377
FDT57,OUT018,3414.6892518268032
FDV24,OUT046,2372.727810754806
FDI50,OUT019,1710.365518606389
FDS09,OUT035,1101.9890766970143
NCC31,OUT027,3860.881503246191
FDQ07,OUT019,1570.4687157901583
FDC22,OUT017,3125.1775520010237
FDZ56,OUT046,2690.76742339383
FDZ40,OUT019,-886.0997469714652
FDS46,OUT027,3391.531641971416
DRD24,OUT045,2175.578086246594
FDV45,OUT017,3074.249706928236
FDL26,OUT045,2399.166380665625
FDA56,OUT018,1740.4692431304004
FDN27,OUT046,1904.3885751908178
